,,,,,2022 ESPN Fantasy Football Draft Kit,,,,,,,,,,
,,,,,,,PPR Top 300 Cheat Sheet,,,,,,,,
,RANKINGS 1-80,,,,RANKINGS 81-160,,,,RANKINGS 161-240,,,,RANKINGS 241-300,,
57. (RB24),"Clyde Edwards-Helaire, KC",$10,8,137. (TE15),"Noah Fant, SEA",$1,11,217. (WR79),"Romeo Doubs, GB",$0,14,297. (DST19),"Broncos D/ST, DEN",$0,9
58. (RB25),"Devin Singletary, BUF",$9,7,138. (TE16),"Irv Smith Jr., MIN",$1,7,218. (WR80),"KJ Hamler, DEN",$0,9,298. (DST20),"Vikings D/ST, MIN",$0,7
59. (RB26),"Miles Sanders, PHI",$9,7,139. (TE17),"David Njoku, CLE",$1,9,219. (QB22),"Zach Wilson, NYJ",$0,10,299. (DST21),"Panthers D/ST, CAR",$0,13
60. (TE4),"Darren Waller, LV",$9,6,140. (TE18),"Tyler Higbee, LAR",$1,7,220. (QB23),"Ryan Tannehill, TEN",$0,6,300. (DST22),"Raiders D/ST, LV",$0,6
61. (TE5),"George Kittle, SF",$8,9,141. (DST1),"Bills D/ST, BUF",$1,7,221. (DST13),"Dolphins D/ST, MIA",$0,11,,,,
62. (QB4),"Lamar Jackson, BAL",$8,10,142. (DST2),"Saints D/ST, NO",$1,14,222. (DST14),"Browns D/ST, CLE",$0,9,,Schedule,,
63. (QB5),"Kyler Murray, ARI",$8,13,143. (DST3),"Packers D/ST, GB",$1,14,223. (K13),"Robbie Gould, SF",$0,9,,,,
,,,,,,,,,,,,Week,Teams on Bye,,
64. (WR28),"Amari Cooper, CLE",$7,9,144. (DST4),"Ravens D/ST, BAL",$1,10,224. (K14),"Ryan Succop, TB",$0,11,,,,
65. (WR29),"Michael Thomas, NO",$7,14,145. (DST5),"Buccaneers D/ST, TB",$1,11,225. (WR81),"Velus Jones Jr., CHI",$0,14,,"Lions, Texans",,
,,,,,,,,,,,,6,,,
66. (WR30),"Allen Robinson II, LAR",$7,7,146. (DST6),"49ers D/ST, SF",$1,9,226. (WR82),"Nick Westbrook-Ikhine, TEN",$0,6,,"Raiders, Titans",,
67. (WR31),"Hunter Renfrow, LV",$7,6,147. (DST7),"Cowboys D/ST, DAL",$1,9,227. (WR83),"K.J. Osborn, MIN",$0,7,,"Bills, Rams",,
,,,,,,,,,,,,7,,,
68. (WR32),"JuJu Smith-Schuster, KC",$6,8,148. (DST8),"Colts D/ST, IND",$1,14,228. (WR84),"Odell Beckham Jr., FA",$0,0,,"Vikings, Eagles",,
69. (WR33),"Adam Thielen, MIN",$6,7,149. (DST9),"Steelers D/ST, PIT",$1,9,229. (WR85),"Sterling Shepard, NYG",$0,9,8,"Chiefs, Chargers",,
