depthChart,name rank,team,,,,,
QB2,-,MIN,,,,,
RB1,Alexander Mattison (53),MIN,,,,,
RB2,Ty Chandler (207),MIN,,,,,
RB3,Myles Gaskin (242),MIN,,,,,
WR1,Justin Jefferson (1),MIN,,,,,
WR2,Jordan Addison (96),MIN,,,,,
WR3,K.J. Osborn (137),MIN,,,,,
WR4,-,MIN,,,,,
TE1,T.J. Hockenson (49),MIN,,,,,
TE2,-,MIN,,,,,
K,Greg Joseph (345),MIN,,,,,
QB1,Derek Carr (219),NO,,,,,
QB2,-,NO,,,,,
RB1,Alvin Kamara (48),NO,,,,,
RB2,Jamaal Williams (110),NO,,,,,
RB3,Kendre Miller (265),NO,,,,,
WR1,Chris Olave (24),NO,,,,,
WR2,Michael Thomas (98),NO,,,,,
WR3,Rashid Shaheed (228),NO,,,,,
WR4,-,NO,,,,,
TE1,Juwan Johnson (139),NO,,,,,
TE2,Taysom Hill (311),NO,,,,,
K,Blake Grupe (350),NO,,,,,
QB1,Geno Smith (125),SEA,,,,,
QB2,-,SEA,,,,,
RB1,Ken Walker III (52),SEA,,,,,
RB2,Zach Charbonnet (127),SEA,,,,,
RB3,DeeJay Dallas (306),SEA,,,,,
WR1,DK Metcalf (22),SEA,,,,,
WR2,Tyler Lockett (67),SEA,,,,,
WR3,Jaxon Smith-Njigba (85),SEA,,,,,
WR4,-,SEA,,,,,
TE1,Noah Fant (259),SEA,,,,,
TE2,Will Dissly (314),SEA,,,,,
K,Jason Myers (156),SEA,,,,,
